Type;Name;Address;Telephone;Website;Email
Gold Partner;Scopea;27 rue des 36 ponts 31400 ToulouseFrance;+33 7 83 28 39 25;http://www.scopea.fr;contact@scopea.fr
Gold Partner;Camptocamp SA;EPFL Innovation Park, Bât APSE-A1015 Lausanne Switzerland;+41 21 619 10 10;"http://www.camptocamp.com;  finance.ch@camptocamp.com";info@camptocamp.com
Gold Partner;Smart Information Technologies Ltd;Unit 44d Progress Business ParkOrders LanePR4 2TZ Kirkham United Kingdom;+44 1253 204 537;http://smart-ltd.co.uk/;barry.bullen@smart-ltd.co.uk
Gold Partner;Port Cities Indonesia;Satrio Tower, 12th Floor, Unit 6Jl. Prof. DR. Satrio Kav. C4, Kuningan12950 Jakarta  Indonesia;+62 812 1176 5068;http://www.portcities.net;sales@portcities.net
Gold Partner;GFP Solutions;995 Market St. 2nd FloorSan Francisco, CA 94103United States; (628) 215-0082;;sales@gfpsolutions.com
Gold Partner;aquíH;Via 5 1-36 Zona 4 Edificio Cuatro 36 Oficina 50201004 Guatemala Guatemala;+502 2329-4650;http://www.aquih.com;rodrigo@aquih.com
Gold Partner;apik;1, allée Gustave Eiffel ZA de Botquelen 56610 ARRADONFrance;+33 (0) 6.32.98.84.41;https://apik.cloud/;hte@apik.cloud
Gold Partner;Accomodata BVBA;Oscar Delghuststraat 609600 RONSE Belgium;+32 9 396 21 00;https://www.accomodata.be;info@accomodata.be
Gold Partner;B-informed BV;Markendaalseweg 444811 KC Breda Netherlands;+31 76 5 64 00 63;https://www.b-informed.nl/;office@b-informed.nl
Gold Partner;Odoo Experts B.V.;Vredeweg 1S1505 HH Zaandam Netherlands;+31 88 377 4000;http://www.odooexperts.nl;"erwin@odooexperts.nl; bert@odooexperts.nl"
Gold Partner;erp|open B.V.;Kosterijland 503981 Bunnik Netherlands;"+31318495370; +31318495360; ";https://www.erpopen.nl;ltakkebos@erpopen.nl
Gold Partner;Elico Corporation 上海寰享网络科技有限公司;Room 6 A, 137 Ju Lu Road, Huang Pu District, Shanghai. 200020上海市黄浦区巨鹿路137号6A室200002 Shanghai China;86 21 6211 8017;http://www.elico-corp.com/;contact@elico-corp.com
Gold Partner;Camptocamp France SAS;18 rue du Lac Saint André Savoie Technolac73 370 Le Bourget-du-LacFrance;0458482000;http://www.camptocamp.com;info@camptocamp.com
Gold Partner;ATIT  (ex NOOR IT);Eastern Ring Rd, Ar Rabwah12822 Riyadh Saudi Arabia;+966 53 000 6321;https://atit-sa.com/;odoo@atit-sa.com
Gold Partner;Sudokeys;1 bd ferdinand de Candau 40000 Mont de MarsanFrance;+33 5 63 26 56 61;http://www.sudokeys.com/;patrick@sudokeys.com
Gold Partner;Intero Technologies GmbH;Heinrich-Heine-Ring 7618435 StralsundGermany;+493831445570;http://www.intero-technologies.de;R.Hannaske@intero-technologies.de
Gold Partner;Novobi;8920 Business Park Dr.Suite 250Austin, TX 78759United States;512-522-2837;http://www.novobi.com;contact@novobi.com
Gold Partner;OBS Solutions GmbH;Am Ochsenhagen 457462 OlpeGermany;+49 211 78172511347;http://www.odoo-bs.com;info@odoo-bs.com
Gold Partner;Bista Solutions Inc.;3295 River Exchange DriveSuite 150Norcross, GA 30092United States;858 401 2332;http://www.bistasolutions.com/;shahid.bandarkar@bistasolutions.com
